key,term,cover,map,artist,title,year,license,caption_line1,note,source_file
achaeans-1,Achaeans,Y,,Exekias,Achilles and Ajax Playing Dice,c. 530 BC,,"Exekias · Achilles and Ajax Playing Dice, c. 530 BC",,"File:Achilles_and_Ajax_playing_dice,_Attic_black-figured_amphora,_signed_by_Exekias_as_both_painter_and_potter,_540-530_BC,_inv._16757_-_Museo_Gregoriano_Etrusco_-_Vatican_Museums_-_DSC01049.jpg"
achaeans-2,Achaeans,,,Chigi Painter,The Chigi Vase,c. 640 BC,,"Chigi Painter · The Chigi Vase, c. 640 BC",Achaeans — Achaean hoplites marching to battle on the Chigi Vase,File:Chigi_Painter_-_CVPAP_32_A_3_-_battle_of_phalanxes_-_chariots_and_riders_-_judgement_of_Paris_-_hunting_scenes_-_Roma_MNEVG_22679_-_12.jpg
achaeans-3,Achaeans,,,Late Warrior Frieze Group,Alabastron with Files of Armed Warriors,c. 575 BC,,"Late Warrior Frieze Group · Alabastron with Files of Armed Warriors, c. 575 BC",,File:Terracotta_alabastron_(perfume_vase)_MET_DP119906.jpg
achaeans-w100,Achaeans,,,Sosias Painter,Achilles and Patroclus,c. 500 BC,,"Sosias Painter · Achilles and Patroclus, c. 500 BC",Achaeans — Achilles binding the wound of his fellow hero Patroclus,File:Akhilleus_Patroklos_Antikensammlung_Berlin_F2278.jpg
acheron-map,Acheron,Y,Y,,The World According to Homer,,,The World According to Homer,"Acheron — a river of the underworld, beyond the encircling Ocean",File:Homer_world_map.jpg
achilles-1,Achilles,Y,,Jacques-Louis David,The Anger of Achilles,1819,,"Jacques-Louis David · The Anger of Achilles, 1819","Achilles — the muscular warrior at left, plumed helmet",File:Jacques-Louis_David_-_The_Anger_of_Achilles_-_Google_Art_Project.jpg
achilles-2,Achilles,,,Peter Paul Rubens,Thetis Dipping Achilles in the Styx,c. 1625,,"Peter Paul Rubens · Thetis Dipping Achilles in the Styx, c. 1625","Achilles — the infant held by the ankle, being dipped",File:Peter_Paul_Rubens_181.jpg
achilles-3,Achilles,,,Anonymous,Fight over the Body of Achilles,1911,,"Anonymous · Fight over the Body of Achilles, 1911",Achilles — the fallen body at bottom (inscribed),File:EB1911_Greek_Art_-_Fight_over_the_Body_of_Achilles.jpg
achilles-4,Achilles,,,Anonymous,Briseis Taken Away from Achilles,2018,,"Anonymous · Briseis Taken Away from Achilles, 2018",,File:Wall_painting_-_Briseis_taken_away_from_Achilles_-_Pompeii_(VI_8_5)_-_Napoli_MAN_9105_-_01.jpg
achilles-w100,Achilles,,,Anonymous,Achilles at Skyros,c. 400 AD,,"Anonymous · Achilles at Skyros, c. 400 AD",Achilles — central figure seizing the shield,File:05-Mosaico_del_Oecus._Aquiles_en_Skyros_alta.jpg
achilles-w101,Achilles,,,Anonymous,Achilles and Agamemnon,c. 100 BC,,"Anonymous · Achilles and Agamemnon, c. 100 BC",,File:Achilles_Agamemnon_Pompei_mosaic_NAMNaples_10006.jpg
achilles-w102,Achilles,,,Anonymous,Achilles Carrying a Fallen Body,2nd century AD,CC BY 2.5,"Anonymous · Achilles Carrying a Fallen Body, 2nd century AD (CC BY 2.5)","Achilles — bearing a slain figure, the Pasquino group",File:Achilles_Troilus_MAN_Napoli_Inv5999.jpg
achilles-w103,Achilles,,,Anonymous,Achilles at Skyros,c. 400 AD,,"Anonymous · Achilles at Skyros, c. 400 AD",Achilles — the youth at right,"File:Achilles_at_Skyros,_Mosaic,_Villa_La_Olmeda,_4th_century_AD.jpg"
achilles-w104,Achilles,,,Anonymous,Achilles,c. 240 AD,,"Anonymous · Achilles, c. 240 AD",Achilles — shown with shield on a carved relief,File:Achilles_by_Lycomedes_Louvre_Ma2120.jpg
achilles-w105,Achilles,,,Eretria Painter,The Departure of Achilles,c. 430 BC,CC BY 2.5,"Eretria Painter · The Departure of Achilles, c. 430 BC (CC BY 2.5)",Achilles — armored warrior at left (inscribed above),File:Achilles_departure_Eretria_Painter_CdM_Paris_851.jpg
achilles-w106,Achilles,,,Anonymous,Achilles Fighting Memnon,c. 510 BC,,"Anonymous · Achilles Fighting Memnon, c. 510 BC",Achilles — the charging warrior at center,File:Achilles_fighting_against_Memnon_Leiden_Rijksmuseum_voor_Oudheden.jpg
achilles-w107,Achilles,,,Anonymous,Achilles Slaying Troilus,1894,,"Anonymous · Achilles Slaying Troilus, 1894",Achilles — armored warrior at left attacking the youth,File:Achilles_slaying_Troilus.PNG
achilles-w108,Achilles,,,Anonymous,Achilles on a Coin of Thessaly,c. 300 BC,CC BY-SA 3.0,"Anonymous · Achilles on a Coin of Thessaly, c. 300 BC (CC BY-SA 3.0)",Achilles — head on the obverse; seated warrior with shield on the reverse,File:Achilles-01.jpg
achilles-w109,Achilles,,,Anonymous,Chiron Teaching Achilles the Lyre,1st century AD,,"Anonymous · Chiron Teaching Achilles the Lyre, 1st century AD",Achilles — the youth at right holding the lyre,File:Achilleus_Lyra.jpg
